ID,INDIVIDUAL_ID,DATE,REGION,REEF,ZONING,SPECIES,LIFE_STAGE,FL,TL,Period
Plec05_H08,T26771,29/01/2008,Keppel Islands,Halfway Green,MPZ,P. maculatus,Adult,380,410,C
Plec05_A05,T33670,02/02/2008,Keppel Islands,Clam Bay,MPZ,P. maculatus,Adult,381,404,C
Plec02_H09,T15789,28/11/2007,Keppel Islands,Halfway Green,MPZ,P. maculatus,Adult,384,401,C
Plec03_A05,T26563,27/01/2008,Keppel Islands,Halfway Green,MPZ,P. maculatus,Adult,385,411,C
Plec03_G04,T26629,28/01/2008,Keppel Islands,Halfway Green,MPZ,P. maculatus,Adult,385,408,C
Plec05_B01,T26311,27/01/2008,Keppel Islands,Clam Bay,MPZ,P. maculatus,Adult,386,419,C
Plec03_B03,T26364,26/01/2008,Keppel Islands,Halfway Green,MPZ,P. maculatus,Adult,388,412,C
Plec05_F08,T01019,22/11/2007,Keppel Islands,Clam Bay,MPZ,P. maculatus,Adult,389,409,C
Plec01_G01,T01470,25/11/2007,Keppel Islands,Middle Is,MPZ,P. maculatus,Adult,390,410,C
Plec02_H06,T16002,28/11/2007,Keppel Islands,Halfway Green,MPZ,P. maculatus,Adult,390,410,C
Plec03_A07,T26127,25/01/2008,Keppel Islands,Halfway Green,MPZ,P. maculatus,Adult,390,415,C
Plec03_B11,T16002,28/11/2007,Keppel Islands,Halfway Green,MPZ,P. maculatus,Adult,390,410,C
Plec03_D04,T26090,27/01/2008,Keppel Islands,Halfway Green,MPZ,P. maculatus,Adult,390,410,C
Plec03_E10,T16565,30/11/2007,Keppel Islands,Halfway Green,MPZ,P. maculatus,Adult,390,410,C
Plec05_B07,T25730,25/01/2008,Keppel Islands,Clam Bay,MPZ,P. maculatus,Adult,390,410,C
Plec05_E08,T26127,25/01/2008,Keppel Islands,Clam Bay,MPZ,P. maculatus,Adult,390,415,C
Plec03_B06,T26318,27/01/2008,Keppel Islands,Halfway Green,MPZ,P. maculatus,Adult,393,420,C
Plec05_E03,T26461,31/01/2008,Keppel Islands,Clam Bay,MPZ,P. maculatus,Adult,394,419,C
Plec01_C12,T25378,22/01/2008,Keppel Islands,Middle Is,MPZ,P. maculatus,Adult,395,428,C
Plec01_F02,T00011,19/11/2007,Keppel Islands,Middle Is,MPZ,P. maculatus,Adult,395,410,C
Plec03_C04,T25274,22/01/2008,Keppel Islands,Halfway Green,MPZ,P. maculatus,Adult,395,417,C
Plec03_H07,T25274,22/01/2008,Keppel Islands,Halfway Green,MPZ,P. maculatus,Adult,395,417,C
Plec05_D07,T01818,26/11/2007,Keppel Islands,Clam Bay,MPZ,P. maculatus,Adult,395,415,C
Plec05_D09,T25316,21/01/2008,Keppel Islands,Clam Bay,MPZ,P. maculatus,Adult,395,417,C
Plec05_A07,T26654,29/01/2008,Keppel Islands,Clam Bay,MPZ,P. maculatus,Adult,397,430,C
Plec05_G06,T16404,29/11/2007,Keppel Islands,Clam Bay,MPZ,P. maculatus,Adult,397,424,C
Plec01_B07,T33161,31/01/2008,Keppel Islands,Middle Is,MPZ,P. maculatus,Adult,398,420,C
Plec03_B08,T25275,22/01/2008,Keppel Islands,Halfway Green,MPZ,P. maculatus,Adult,399,422,C
Plec03_C11,T25965,25/01/2008,Keppel Islands,Halfway Green,MPZ,P. maculatus,Adult,399,402,C
Plec03_G01,T25283,22/01/2008,Keppel Islands,Halfway Green,MPZ,P. maculatus,Adult,399,421,C
Plec01_D05,T26900,30/01/2008,Keppel Islands,Middle Is,MPZ,P. maculatus,Adult,400,427,C
Plec01_E02,T26863,29/01/2008,Keppel Islands,Middle Is,MPZ,P. maculatus,Adult,400,418,C
Plec03_F08,T33113,31/01/2008,Keppel Islands,Halfway Green,MPZ,P. maculatus,Adult,400,425,C
Plec05_E10,T25732,25/01/2008,Keppel Islands,Clam Bay,MPZ,P. maculatus,Adult,400,420,C
Plec05_H07,T25329,21/01/2008,Keppel Islands,Halfway Green,MPZ,P. maculatus,Adult,400,422,C
Plec06_H03,T16023,28/11/2007,Keppel Islands,Middle Is,MPZ,P. maculatus,Adult,400,420,C
Plec03_G09,T26120,25/01/2008,Keppel Islands,Halfway Green,MPZ,P. maculatus,Adult,402,425,C
Plec03_G11,T26787,30/01/2008,Keppel Islands,Halfway Green,MPZ,P. maculatus,Adult,402,425,C
Plec03_D03,T25202,21/01/2008,Keppel Islands,Halfway Green,MPZ,P. maculatus,Adult,403,428,C
Plec06_F12,T15674,26/11/2007,Keppel Islands,Middle Is,MPZ,P. maculatus,Adult,403,423,C
Plec03_A02,T26516,26/01/2008,Keppel Islands,Halfway Green,MPZ,P. maculatus,Adult,404,428,C
Plec03_F01,T26558,27/01/2008,Keppel Islands,Halfway Green,MPZ,P. maculatus,Adult,404,431,C
Plec05_F09,T16584,30/11/2007,Keppel Islands,Clam Bay,MPZ,P. maculatus,Adult,405,431,C
Plec05_B12,T26978,01/02/2008,Keppel Islands,Clam Bay,MPZ,P. maculatus,Adult,407,430,C
Plec01_D01,T26899,30/01/2008,Keppel Islands,Middle Is,MPZ,P. maculatus,Adult,408,421,C
Plec01_D09,T26111,25/01/2008,Keppel Islands,Middle Is,MPZ,P. maculatus,Adult,410,430,C
Plec05_E11,T19387,21/01/2008,Keppel Islands,Clam Bay,MPZ,P. maculatus,Adult,410,433,C
Plec01_E12,T19748,28/01/2008,Keppel Islands,Middle Is,MPZ,P. maculatus,Adult,412,430,C
Plec03_A06,T26293,27/01/2008,Keppel Islands,Halfway Green,MPZ,P. maculatus,Adult,414,440,C
Plec01_A08,T26910,30/01/2008,Keppel Islands,Middle Is,MPZ,P. maculatus,Adult,415,437,C
Plec03_B09,T25838,25/01/2008,Keppel Islands,Halfway Green,MPZ,P. maculatus,Adult,415,439,C
Plec03_D08,T25216,21/01/2008,Keppel Islands,Halfway Green,MPZ,P. maculatus,Adult,415,436,C
Plec01_D03,T26906,30/01/2008,Keppel Islands,Middle Is,MPZ,P. maculatus,Adult,416,434,C
Plec03_G06,T26513,26/01/2008,Keppel Islands,Halfway Green,MPZ,P. maculatus,Adult,417,438,C
Plec05_G12,T16291,30/11/2007,Keppel Islands,Halfway Green,MPZ,P. maculatus,Adult,418,445,C
Plec02_G05,T26763,29/01/2008,Keppel Islands,Halfway Green,MPZ,P. maculatus,Adult,420,450,C
Plec03_C09,T33110,31/01/2008,Keppel Islands,Halfway Green,MPZ,P. maculatus,Adult,420,450,C
Plec06_F05,T00948,25/11/2007,Keppel Islands,Middle Is,MPZ,P. maculatus,Adult,420,440,C
Plec01_B08,T26213,29/01/2008,Keppel Islands,Middle Is,MPZ,P. maculatus,Adult,421,440,C
Plec03_A08,T25807,25/01/2008,Keppel Islands,Halfway Green,MPZ,P. maculatus,Adult,422,442,C
Plec06_H06,T00198,20/11/2007,Keppel Islands,Middle Is,MPZ,P. maculatus,Adult,422,446,C
Plec05_H11,T19710,20/01/2008,Keppel Islands,Middle Is,MPZ,P. maculatus,Adult,423,448,C
Plec02_H12,T15767,27/11/2007,Keppel Islands,Halfway Green,MPZ,P. maculatus,Adult,424,432,C
Plec03_C10,T19368,21/01/2008,Keppel Islands,Halfway Green,MPZ,P. maculatus,Adult,424,447,C
Plec03_C06,T33115,31/01/2008,Keppel Islands,Halfway Green,MPZ,P. maculatus,Adult,425,450,C
Plec05_C04,T26264,26/01/2008,Keppel Islands,Clam Bay,MPZ,P. maculatus,Adult,425,445,C
Plec03_C02,T25005,22/01/2008,Keppel Islands,Halfway Green,MPZ,P. maculatus,Adult,426,454,C
Plec01_A02,T33177,03/02/2008,Keppel Islands,Middle Is,MPZ,P. maculatus,Adult,430,455,C
Plec01_B09,T33594,03/02/2008,Keppel Islands,Middle Is,MPZ,P. maculatus,Adult,430,445,C
Plec05_G09,T01086,23/11/2007,Keppel Islands,Clam Bay,MPZ,P. maculatus,Adult,430,440,C
Plec06_F09,T01608,26/11/2007,Keppel Islands,Middle Is,MPZ,P. maculatus,Adult,430,450,C
Plec05_C06,T25318,21/01/2008,Keppel Islands,Clam Bay,MPZ,P. maculatus,Adult,431,451,C
Plec01_C11,T26902,30/01/2008,Keppel Islands,Middle Is,MPZ,P. maculatus,Adult,432,454,C
Plec03_F03,T26329,28/01/2008,Keppel Islands,Halfway Green,MPZ,P. maculatus,Adult,432,455,C
Plec05_C09,T19738,27/01/2008,Keppel Islands,Clam Bay,MPZ,P. maculatus,Adult,434,461,C
Plec01_C09,T19113,20/01/2008,Keppel Islands,Middle Is,MPZ,P. maculatus,Adult,435,460,C
Plec01_E09,T26949,31/01/2008,Keppel Islands,Middle Is,MPZ,P. maculatus,Adult,435,460,C
Plec05_G08,T16409,29/11/2007,Keppel Islands,Clam Bay,MPZ,P. maculatus,Adult,435,464,C
Plec02_G12,T15899,29/11/2007,Keppel Islands,Halfway Green,MPZ,P. maculatus,Adult,440,471,C
Plec05_F04,T26226,30/01/2008,Keppel Islands,Clam Bay,MPZ,P. maculatus,Adult,440,460,C
Plec06_H05,T00937,25/11/2007,Keppel Islands,Middle Is,MPZ,P. maculatus,Adult,440,460,C
Plec01_B04,T25910,25/01/2008,Keppel Islands,Middle Is,MPZ,P. maculatus,Adult,441,471,C
Plec01_H11,T32125,31/01/2008,Keppel Islands,Middle Is,MPZ,P. maculatus,Adult,441,465,C
Plec03_A12,T26508,26/01/2008,Keppel Islands,Halfway Green,MPZ,P. maculatus,Adult,441,470,C
Plec03_B12,T25333,21/01/2008,Keppel Islands,Halfway Green,MPZ,P. maculatus,Adult,441,472,C
Plec03_C07,T33105,30/01/2008,Keppel Islands,Halfway Green,MPZ,P. maculatus,Adult,445,465,C
Plec03_E11,T25832,25/01/2008,Keppel Islands,Halfway Green,MPZ,P. maculatus,Adult,446,470,C
Plec01_H03,T25515,23/01/2008,Keppel Islands,Middle Is,MPZ,P. maculatus,Adult,448,470,C
Plec01_B02,T25384,22/01/2008,Keppel Islands,Middle Is,MPZ,P. maculatus,Adult,450,475,C
Plec01_E04,T26894,30/01/2008,Keppel Islands,Middle Is,MPZ,P. maculatus,Adult,450,470,C
Plec01_F04,T26864,29/01/2008,Keppel Islands,Middle Is,MPZ,P. maculatus,Adult,450,472,C
Plec06_G01,T00944,25/11/2007,Keppel Islands,Middle Is,MPZ,P. maculatus,Adult,450,460,C
Plec05_E01,T33340,01/02/2008,Keppel Islands,Clam Bay,MPZ,P. maculatus,Adult,451,477,C
Plec01_D06,T25686,23/01/2008,Keppel Islands,Middle Is,MPZ,P. maculatus,Adult,452,477,C
Plec05_F06,T01700,28/11/2007,Keppel Islands,Clam Bay,MPZ,P. maculatus,Adult,453,477,C
Plec01_E01,T26882,29/01/2008,Keppel Islands,Middle Is,MPZ,P. maculatus,Adult,455,474,C
Plec03_A10,T25004,22/01/2008,Keppel Islands,Halfway Green,MPZ,P. maculatus,Adult,455,486,C
Plec03_H04,T19363,21/01/2008,Keppel Islands,Halfway Green,MPZ,P. maculatus,Adult,458,485,C
Plec01_G12,T26212,29/01/2008,Keppel Islands,Middle Is,MPZ,P. maculatus,Adult,459,484,C
Plec01_F01,T26013,23/01/2008,Keppel Islands,Middle Is,MPZ,P. maculatus,Adult,460,490,C
Plec02_D10,T00637,23/11/2007,Keppel Islands,Egg Rock,MPZ,P. maculatus,Adult,460,480,C
Plec02_G10,T16012,28/11/2007,Keppel Islands,Halfway Green,MPZ,P. maculatus,Adult,460,490,C
Plec06_F04,T26216,29/01/2008,Keppel Islands,Middle Is,MPZ,P. maculatus,Adult,460,485,C
Plec03_F11,T19375,21/01/2008,Keppel Islands,Halfway Green,MPZ,P. maculatus,Adult,462,491,C
Plec05_E07,T19396,21/01/2008,Keppel Islands,Clam Bay,MPZ,P. maculatus,Adult,463,487,C
Plec01_B05,T19633,20/01/2008,Keppel Islands,Middle Is,MPZ,P. maculatus,Adult,464,491,C
Plec05_D11,T26634,28/01/2008,Keppel Islands,Clam Bay,MPZ,P. maculatus,Adult,464,495,C
Plec01_F06,T33210,30/01/2008,Keppel Islands,Middle Is,MPZ,P. maculatus,Adult,465,495,C
Plec01_G08,T00563,20/11/2007,Keppel Islands,Middle Is,MPZ,P. maculatus,Adult,465,490,C
Plec05_B09,T19734,27/01/2008,Keppel Islands,Clam Bay,MPZ,P. maculatus,Adult,465,485,C
Plec06_F06,T01618,25/01/2008,Keppel Islands,Middle Is,MPZ,P. maculatus,Adult,465,490,C
Plec05_B08,T26383,27/01/2008,Keppel Islands,Clam Bay,MPZ,P. maculatus,Adult,467,490,C
Plec02_F05,T25577,26/01/2008,Keppel Islands,Egg Rock,MPZ,P. maculatus,Adult,469,500,C
Plec01_B12,T25664,24/01/2008,Keppel Islands,Middle Is,MPZ,P. maculatus,Adult,470,495,C
Plec01_E06,T25689,23/01/2008,Keppel Islands,Middle Is,MPZ,P. maculatus,Adult,470,500,C
Plec01_H12,T25619,23/01/2008,Keppel Islands,Middle Is,MPZ,P. maculatus,Adult,470,500,C
Plec02_H04,T16205,29/11/2007,Keppel Islands,Halfway Green,MPZ,P. maculatus,Adult,470,510,C
Plec03_B04,T26121,25/01/2008,Keppel Islands,Halfway Green,MPZ,P. maculatus,Adult,470,500,C
Plec03_F05,T26769,29/01/2008,Keppel Islands,Halfway Green,MPZ,P. maculatus,Adult,470,495,C
Plec01_C04,T26248,30/01/2008,Keppel Islands,Middle Is,MPZ,P. maculatus,Adult,473,500,C
Plec05_F01,T01795,27/11/2007,Keppel Islands,Clam Bay,MPZ,P. maculatus,Adult,477,500,C
Plec01_D02,T25411,23/01/2008,Keppel Islands,Middle Is,MPZ,P. maculatus,Adult,480,511,C
Plec01_G11,T00001,19/11/2007,Keppel Islands,Middle Is,MPZ,P. maculatus,Adult,480,496,C
Plec02_B12,T00633,23/11/2007,Keppel Islands,Egg Rock,MPZ,P. maculatus,Adult,480,510,C
Plec03_H05,T25214,21/01/2008,Keppel Islands,Halfway Green,MPZ,P. maculatus,Adult,480,518,C
Plec05_C07,T25733,25/01/2008,Keppel Islands,Clam Bay,MPZ,P. maculatus,Adult,480,510,C
Plec05_C08,T26536,28/01/2008,Keppel Islands,Clam Bay,MPZ,P. maculatus,Adult,482,506,C
Plec01_A07,T00783,21/11/2007,Keppel Islands,Middle Is,MPZ,P. maculatus,Adult,485,512,C
Plec06_F03,T26874,29/01/2008,Keppel Islands,Middle Is,MPZ,P. maculatus,Adult,485,516,C
Plec03_H02,T26327,28/01/2008,Keppel Islands,Halfway Green,MPZ,P. maculatus,Adult,486,512,C
Plec05_A01,T25949,26/01/2008,Keppel Islands,Clam Bay,MPZ,P. maculatus,Adult,486,512,C
Plec31_E03,P.Ad-01387,27/05/2012,Keppel Islands,Egg Rock,MPZ,P. maculatus,Adult,489,536,C
Plec30_G10,P.Ad-01323,03/06/2012,Keppel Islands,Halfway Green,MPZ,P. maculatus,Adult,490,515,C
Plec03_G08,T33118,31/01/2008,Keppel Islands,Halfway Green,MPZ,P. maculatus,Adult,490,520,C
Plec05_H02,T16041,29/11/2007,Keppel Islands,Halfway Green,MPZ,P. maculatus,Adult,490,500,C
Plec01_E07,T19803,20/01/2008,Keppel Islands,Middle Is,MPZ,P. maculatus,Adult,491,520,C
Plec30_C06,P.Ad-01271,03/06/2012,Keppel Islands,Egg Rock,MPZ,P. maculatus,Adult,492,525,C
Plec01_D04,T26214,29/01/2008,Keppel Islands,Middle Is,MPZ,P. maculatus,Adult,495,520,C
Plec01_E05,T00268,19/11/2007,Keppel Islands,Middle Is,MPZ,P. maculatus,Adult,495,520,C
Plec01_E10,T19814,20/01/2008,Keppel Islands,Middle Is,MPZ,P. maculatus,Adult,499,530,C
Plec31_C02,P.Ad-01362,02/06/2012,Keppel Islands,Egg Rock,MPZ,P. maculatus,Adult,500,529,C
Plec01_A04,T00567,20/11/2007,Keppel Islands,Middle Is,MPZ,P. maculatus,Adult,500,530,C
Plec03_H09,T16256,25/01/2008,Keppel Islands,Halfway Green,MPZ,P. maculatus,Adult,500,529,C
Plec03_H10,T26086,27/01/2008,Keppel Islands,Halfway Green,MPZ,P. maculatus,Adult,500,530,C
Plec05_B03,T26857,28/01/2008,Keppel Islands,Middle Is,MPZ,P. maculatus,Adult,500,520,C
Plec06_E11,R24159,20/01/2008,Keppel Islands,Middle Is,MPZ,P. maculatus,Adult,500,526,C
Plec05_G03,T01852,28/11/2007,Keppel Islands,Clam Bay,MPZ,P. maculatus,Adult,501,529,C
Plec06_H01,T01619,24/01/2008,Keppel Islands,Middle Is,MPZ,P. maculatus,Adult,502,530,C
Plec01_A03,T26237,30/01/2008,Keppel Islands,Middle Is,MPZ,P. maculatus,Adult,504,535,C
Plec03_F02,T25301,21/01/2008,Keppel Islands,Halfway Green,MPZ,P. maculatus,Adult,506,540,C
Plec31_D08,P.Ad-01380,27/05/2012,Keppel Islands,Egg Rock,MPZ,P. maculatus,Adult,510,548,C
Plec02_B03,T16548,30/11/2007,Keppel Islands,Egg Rock,MPZ,P. maculatus,Adult,510,540,C
Plec03_B10,T25961,25/01/2008,Keppel Islands,Halfway Green,MPZ,P. maculatus,Adult,510,536,C
Plec03_E06,T16260,29/11/2007,Keppel Islands,Halfway Green,MPZ,P. maculatus,Adult,510,530,C
Plec06_G08,T00676,21/11/2007,Keppel Islands,Middle Is,MPZ,P. maculatus,Adult,510,540,C
Plec06_H12,T00234,19/11/2007,Keppel Islands,Middle Is,MPZ,P. maculatus,Adult,510,525,C
Plec31_E01,P.Ad-01385,27/05/2012,Keppel Islands,Egg Rock,MPZ,P. maculatus,Adult,511,541,C
Plec30_F08,P.Ad-01309,19/05/2012,Keppel Islands,Halfway Green,MPZ,P. maculatus,Adult,512,526,C
Plec30_G04,P.Ad-01317,19/05/2012,Keppel Islands,40 Acre Paddock,HPZ,P. maculatus,Adult,512,542,C
Plec30_F09,P.Ad-01310,19/05/2012,Keppel Islands,Halfway Green,MPZ,P. maculatus,Adult,515,542,C
Plec05_A06,T25373,22/01/2008,Keppel Islands,Clam Bay,MPZ,P. maculatus,Adult,515,550,C
Plec05_C11,T19389,21/01/2008,Keppel Islands,Clam Bay,MPZ,P. maculatus,Adult,515,537,C
Plec05_E05,T26979,01/02/2008,Keppel Islands,Clam Bay,MPZ,P. maculatus,Adult,515,537,C
Plec01_G02,T00607,21/11/2007,Keppel Islands,Middle Is,MPZ,P. maculatus,Adult,516,540,C
Plec03_B05,T19371,21/01/2008,Keppel Islands,Halfway Green,MPZ,P. maculatus,Adult,517,536,C
